5;5113;5113032;ANTIOQUIA;BURITICÁ;SIARA
5;5113;5113002;ANTIOQUIA;BURITICÁ;BUBARÁ
5;5125;5125009;ANTIOQUIA;CAICEDO;LA CASCAJALA
5;5125;5125003;ANTIOQUIA;CAICEDO;BELLA AGUADA
5;5125;5125001;ANTIOQUIA;CAICEDO;ACONOZCA
5;5125;5125010;ANTIOQUIA;CAICEDO;LA CORTADA
5;5101;5101008;ANTIOQUIA;CIUDAD BOLÍVAR;LA GRANJA
5;5101;5101015;ANTIOQUIA;CIUDAD BOLÍVAR;MANZANILLO
5;5101;5101002;ANTIOQUIA;CIUDAD BOLÍVAR;BOLIVAR ARRIBA
5;5101;5101014;ANTIOQUIA;CIUDAD BOLÍVAR;LOS MONOS
5;5101;5101001;ANTIOQUIA;CIUDAD BOLÍVAR;AMARANTO
5;5101;5101006;ANTIOQUIA;CIUDAD BOLÍVAR;LA ARBOLEDA
5;5101;5101004;ANTIOQUIA;CIUDAD BOLÍVAR;FARALLONES
5;5101;5101010;ANTIOQUIA;CIUDAD BOLÍVAR;LA LINDA
5;5107;5107005;ANTIOQUIA;BRICEÑO;CHORRILLOS
5;5107;5107004;ANTIOQUIA;BRICEÑO;CAMPO ALEGRE
5;5107;5107034;ANTIOQUIA;BRICEÑO;SAN FRANCISCO
5;5107;5107036;ANTIOQUIA;BRICEÑO;SANTA ANA
5;5107;5107007;ANTIOQUIA;BRICEÑO;EL ANIME
5;5107;5107027;ANTIOQUIA;BRICEÑO;MORAVIA
5;5107;5107018;ANTIOQUIA;BRICEÑO;LA CORREA
5;5107;5107011;ANTIOQUIA;BRICEÑO;EL PESCADO
5;5113;5113018;ANTIOQUIA;BURITICÁ;LA PALMA
5;5113;5113023;ANTIOQUIA;BURITICÁ;LLANO GRANDE
5;5113;5113036;ANTIOQUIA;BURITICÁ;USTI
5;5113;5113012;ANTIOQUIA;BURITICÁ;EL PUERTO
5;5113;5113004;ANTIOQUIA;BURITICÁ;CARAUQUIA
5;5113;5113028;ANTIOQUIA;BURITICÁ;MURRAPAL
5;5113;5113011;ANTIOQUIA;BURITICÁ;EL NARANJO
5;5113;5113014;ANTIOQUIA;BURITICÁ;HIGABRA
